amedas_id,amedas_subid,,fuken_id,type,f_pre,f_tem,f_wsd,f_sun,f_snc,station_name,station_name_kana,location,,,longitude,,,latitude,height,height_wsd,height_tem,,obs_started_pre,obs_started_others,note1,note2,supervisor,station_id,old_station_id
11001,0,宗谷,11,四,Y,Y,Y,Y,N,宗谷岬,ソウヤミサキ,稚内市宗谷岬,45,31.2,45.5200,141,56.1,141.9350,26,10,1.9,昭53.10.30,1978/10/30,1978/10/30,,,稚内地方気象台,1284,
11016,0,宗谷,11,官,Y,Y,Y,Y,N,稚内,ワッカナイ,稚内市開運　稚内地方気象台,45,24.9,45.4150,141,40.7,141.6783,3,23.4,,#昭50.4.1,1974/11/01,1975/04/01,11903,,稚内地方気象台,47401,
11046,0,宗谷,11,四,Y,Y,Y,Y,N,礼文,レブン,礼文郡礼文町大字香深村字トンナイ,45,18.3,45.3050,141,2.7,141.0450,65,6.5,1.5,平15.10.17,2003/10/17,2003/10/17,,,稚内地方気象台,1546,
11061,0,宗谷,11,官,Y,Y,Y,N,N,声問,コエトイ,稚内市大字声問村字声問　稚内空港出張所,45,24.2,45.4033,141,48,141.8000,8,8,,平18.3.16,2006/03/16,2006/03/16,11904,日照を除く,稚内地方気象台,1528,
11076,0,宗谷,11,四,Y,Y,Y,Y,N,浜鬼志別,ハマオニシベツ,宗谷郡猿払村浜鬼志別,45,20.1,45.3350,142,10.2,142.1700,13,6.5,2.5,昭53.10.30,1978/10/30,1978/10/30,11900,,稚内地方気象台,1285,
11091,0,宗谷,11,官,Y,Y,Y,N,N,本泊,モトドマリ,利尻郡利尻富士町鴛泊字本泊　利尻航空気象観測所,45,14.5,45.2417,141,11.2,141.1867,30,7.6,,平18.3.16,2006/03/16,2006/03/16,,日照を除く,稚内地方気象台,1512,
11121,0,宗谷,11,四,Y,Y,Y,Y,N,沼川,ヌマカワ,稚内市声問村字沼川,45,14.9,45.2483,141,51.1,141.8517,23,8,2.8,昭52.10.20,1977/10/20,1977/10/20,11905,,稚内地方気象台,1203,
11151,0,宗谷,11,四,Y,Y,Y,Y,N,沓形,クツガタ,利尻郡利尻町沓形字泉町,45,10.6,45.1767,141,8.3,141.1383,14,6.5,2.8,#昭52.10.24,1974/11/01,1977/10/24,,,稚内地方気象台,2,
11176,0,宗谷,11,四,Y,Y,Y,Y,N,豊富,トヨトミ,天塩郡豊富町字上サロベツ,45,6.4,45.1067,141,45.9,141.7650,16,10,3,(昭50.5.29)昭52.10.25,1975/05/29,1977/10/25,11910,,稚内地方気象台,1054,
11206,0,宗谷,11,四,Y,Y,Y,Y,N,浜頓別,ハマトンベツ,枝幸郡浜頓別町クッチャロ湖畔,45,7.5,45.1250,142,21,142.3500,18,10,2.5,#昭52.10.19,1974/11/01,1977/10/19,,,稚内地方気象台,3,
11276,0,宗谷,11,四,Y,Y,Y,Y,N,中頓別,ナカトンベツ,枝幸郡中頓別町上駒,44,57.9,44.9650,142,16.8,142.2800,25,10.2,2.8,(昭50.5.28)昭52.10.19,1975/05/28,1977/10/19,11915,,稚内地方気象台,1051,
11291,0,宗谷,11,官,Y,Y,Y,Y,N,北見枝幸,キタミエサシ,枝幸郡枝幸町本町　北見枝幸特別地域気象観測所,44,56.4,44.9400,142,35.1,142.5850,7,16.9,,#昭51.1.1,1974/11/01,1976/01/01,11917,,稚内地方気象台,47402,
11316,0,宗谷,11,四,Y,Y,Y,Y,N,歌登,ウタノボリ,枝幸郡枝幸町歌登東町,44,50.4,44.8400,142,28.8,142.4800,14,10,3,#昭52.10.25,1974/11/01,1977/10/25,11920,,稚内地方気象台,5,
13011,0,宗谷,11,雨,Y,N,N,N,N,幌延,ホロノベ,天塩郡幌延町字上幌延,45,0.4,45.0067,141,51.1,141.8517,5,,,平17.11.15,2005/11/15,2005/11/15,,,稚内地方気象台,1573,
12011,0,上川,12,四,Y,Y,Y,Y,N,中川,ナカガワ,中川郡中川町中川,44,49.7,44.8283,142,4.6,142.0767,22,10,3.2,昭52.10.19,1977/10/19,1977/10/19,,,旭川地方気象台,1201,
12041,0,上川,12,四,Y,Y,Y,Y,N,音威子府,オトイネップ,中川郡音威子府村音威子府,44,43.6,44.7267,142,15.9,142.2650,40,10,3.4,昭52.10.17,1977/10/17,1977/10/17,12905,,旭川地方気象台,1197,
12066,0,上川,12,雨,Y,N,N,N,N,小車,オグルマ,中川郡美深町字小車,44,36.5,44.6083,142,17.7,142.2950,62,,,平17.11.9,2005/11/09,2005/11/09,,,旭川地方気象台,1570,
